profile,url,name,description,location,followers,connections,about,experience,education
john,https://www.linkedin.com/in/john/,JOHN FU,Sign in to view JOHN’s full profile,,410,335,"
              or
            ",,
john,https://www.linkedin.com/in/john/,JOHN FU,Sign in to view JOHN’s full profile,,410,335,"
              or
            ",,
john,https://www.linkedin.com/in/john/,JOHN FU,Sign in to view JOHN’s full profile,,410,335,"
              or
            ",,
john,https://www.linkedin.com/in/john/,JOHN FU,Sign in to view JOHN’s full profile,,410,335,"
              or
            ",,
john,https://www.linkedin.com/in/john/,JOHN FU,Sign in to view JOHN’s full profile,,410,335,"
              or
            ",,
john,https://www.linkedin.com/in/john/,JOHN FU,Sign in to view JOHN’s full profile,,410,335,"
              or
            ",,
john,https://www.linkedin.com/in/john/,JOHN FU,Sign in to view JOHN’s full profile,,410,335,"
              or
            ",,
john,https://www.linkedin.com/in/john/,JOHN FU,Sign in to view JOHN’s full profile,,410,335,"
              or
            ",,
john,https://www.linkedin.com/in/john/,JOHN FU,Sign in to view JOHN’s full profile,,410,335,"
              or
            ",,
john,https://www.linkedin.com/in/john/,JOHN FU,Sign in to view JOHN’s full profile,,410,335,"
              or
            ",,
john,https://www.linkedin.com/in/john/,JOHN FU,Sign in to view JOHN’s full profile,,410,335,"
              or
            ",,
joshua,https://www.linkedin.com/in/joshua/,Joshua Deeden,Sign in to view Joshua’s full profile,,21,12,,,
benjamin,https://www.linkedin.com/in/benjamin/,Benjamin Bonneville,Sign in to view Benjamin’s full profile,,381,368,,,
anne,https://www.linkedin.com/in/anne/,Anne-Marie Georgescu,Sign in to view Anne-Marie’s full profile,,84,81,,,"[{'organisation': 'University of Bucharest', 'organisation_profile': 'h', 'course_details': ""Bachelor's degree Japanese Language and Literature"", 'description': ''}, {'organisation': 'Tudor Vianu National College of Computer Science', 'organisation_profile': 'h', 'course_details': 'High School Computer Science', 'description': ''}]"
sam,https://www.linkedin.com/in/sam/,Sam Collins,Sign in to view Sam’s full profile,,3K,500+,"
              or
            ",,
jacob,https://www.linkedin.com/in/jacob/,Jacob DeHart,Sign in to view Jacob’s full profile,,338,321,"
              or
            ",,
noah,https://www.linkedin.com/in/noah/,noah mathews,Sign in to view noah’s full profile,,715,500+,"
              or
            ",,
joshua,https://www.linkedin.com/in/joshua/,Joshua Deeden,Sign in to view Joshua’s full profile,,21,12,,,
benjamin,https://www.linkedin.com/in/benjamin/,Benjamin Bonneville,Sign in to view Benjamin’s full profile,,381,368,,,
anne,https://www.linkedin.com/in/anne/,Anne-Marie Georgescu,Sign in to view Anne-Marie’s full profile,,84,81,,,"[{'organisation': 'University of Bucharest', 'organisation_profile': 'h', 'course_details': ""Bachelor's degree Japanese Language and Literature"", 'description': ''}, {'organisation': 'Tudor Vianu National College of Computer Science', 'organisation_profile': 'h', 'course_details': 'High School Computer Science', 'description': ''}]"
sam,https://www.linkedin.com/in/sam/,Sam Collins,Sign in to view Sam’s full profile,,3K,500+,"
              or
            ",,
jacob,https://www.linkedin.com/in/jacob/,Jacob DeHart,Sign in to view Jacob’s full profile,,338,321,"
              or
            ",,
noah,https://www.linkedin.com/in/noah/,noah mathews,Sign in to view noah’s full profile,,715,500+,"
              or
            ",,
joshua,https://www.linkedin.com/in/joshua/,Joshua Deeden,Sign in to view Joshua’s full profile,,21,12,,,
benjamin,https://www.linkedin.com/in/benjamin/,Benjamin Bonneville,Sign in to view Benjamin’s full profile,,381,368,,,
anne,https://www.linkedin.com/in/anne/,Anne-Marie Georgescu,Sign in to view Anne-Marie’s full profile,,84,81,,,"[{'organisation': 'University of Bucharest', 'organisation_profile': 'h', 'course_details': ""Bachelor's degree Japanese Language and Literature"", 'description': ''}, {'organisation': 'Tudor Vianu National College of Computer Science', 'organisation_profile': 'h', 'course_details': 'High School Computer Science', 'description': ''}]"
sam,https://www.linkedin.com/in/sam/,Sam Collins,Sign in to view Sam’s full profile,,3K,500+,"
              or
            ",,
jacob,https://www.linkedin.com/in/jacob/,Jacob DeHart,Sign in to view Jacob’s full profile,,338,321,"
              or
            ",,
noah,https://www.linkedin.com/in/noah/,noah mathews,Sign in to view noah’s full profile,,715,500+,"
              or
            ",,
joshua,https://www.linkedin.com/in/joshua/,Joshua Deeden,Sign in to view Joshua’s full profile,,21,12,,,
benjamin,https://www.linkedin.com/in/benjamin/,Benjamin Bonneville,Sign in to view Benjamin’s full profile,,381,368,,,
anne,https://www.linkedin.com/in/anne/,Anne-Marie Georgescu,Sign in to view Anne-Marie’s full profile,,84,81,,,"[{'organisation': 'University of Bucharest', 'organisation_profile': 'h', 'course_details': ""Bachelor's degree Japanese Language and Literature"", 'description': ''}, {'organisation': 'Tudor Vianu National College of Computer Science', 'organisation_profile': 'h', 'course_details': 'High School Computer Science', 'description': ''}]"
sam,https://www.linkedin.com/in/sam/,Sam Collins,Sign in to view Sam’s full profile,,3K,500+,"
              or
            ",,
jacob,https://www.linkedin.com/in/jacob/,Jacob DeHart,Sign in to view Jacob’s full profile,,338,321,"
              or
            ",,
noah,https://www.linkedin.com/in/noah/,noah mathews,Sign in to view noah’s full profile,,715,500+,"
              or
            ",,
joshua,https://www.linkedin.com/in/joshua/,Joshua Deeden,Sign in to view Joshua’s full profile,,21,12,,,
benjamin,https://www.linkedin.com/in/benjamin/,Benjamin Bonneville,Sign in to view Benjamin’s full profile,,381,368,,,
anne,https://www.linkedin.com/in/anne/,Anne-Marie Georgescu,Sign in to view Anne-Marie’s full profile,,84,81,,,"[{'organisation': 'University of Bucharest', 'organisation_profile': 'h', 'course_details': ""Bachelor's degree Japanese Language and Literature"", 'description': ''}, {'organisation': 'Tudor Vianu National College of Computer Science', 'organisation_profile': 'h', 'course_details': 'High School Computer Science', 'description': ''}]"
sam,https://www.linkedin.com/in/sam/,Sam Collins,Sign in to view Sam’s full profile,,3K,500+,"
              or
            ",,
jacob,https://www.linkedin.com/in/jacob/,Jacob DeHart,Sign in to view Jacob’s full profile,,338,321,"
              or
            ",,
noah,https://www.linkedin.com/in/noah/,noah mathews,Sign in to view noah’s full profile,,715,500+,"
              or
            ",,
joshua,https://www.linkedin.com/in/joshua/,Joshua Deeden,Sign in to view Joshua’s full profile,,21,12,,,
benjamin,https://www.linkedin.com/in/benjamin/,Benjamin Bonneville,Sign in to view Benjamin’s full profile,,381,368,,,
anne,https://www.linkedin.com/in/anne/,Anne-Marie Georgescu,Sign in to view Anne-Marie’s full profile,,84,81,,,"[{'organisation': 'University of Bucharest', 'organisation_profile': 'h', 'course_details': ""Bachelor's degree Japanese Language and Literature"", 'description': ''}, {'organisation': 'Tudor Vianu National College of Computer Science', 'organisation_profile': 'h', 'course_details': 'High School Computer Science', 'description': ''}]"
sam,https://www.linkedin.com/in/sam/,Sam Collins,Sign in to view Sam’s full profile,,3K,500+,"
              or
            ",,
jacob,https://www.linkedin.com/in/jacob/,Jacob DeHart,Sign in to view Jacob’s full profile,,338,321,"
              or
            ",,
noah,https://www.linkedin.com/in/noah/,noah mathews,Sign in to view noah’s full profile,,715,500+,"
              or
            ",,
joshua,https://www.linkedin.com/in/joshua/,Joshua Deeden,Sign in to view Joshua’s full profile,,21,12,,,
benjamin,https://www.linkedin.com/in/benjamin/,Benjamin Bonneville,Sign in to view Benjamin’s full profile,,381,368,,,
anne,https://www.linkedin.com/in/anne/,Anne-Marie Georgescu,Sign in to view Anne-Marie’s full profile,,84,81,,,"[{'organisation': 'University of Bucharest', 'organisation_profile': 'h', 'course_details': ""Bachelor's degree Japanese Language and Literature"", 'description': ''}, {'organisation': 'Tudor Vianu National College of Computer Science', 'organisation_profile': 'h', 'course_details': 'High School Computer Science', 'description': ''}]"
sam,https://www.linkedin.com/in/sam/,Sam Collins,Sign in to view Sam’s full profile,,3K,500+,"
              or
            ",,
jacob,https://www.linkedin.com/in/jacob/,Jacob DeHart,Sign in to view Jacob’s full profile,,338,321,"
              or
            ",,
noah,https://www.linkedin.com/in/noah/,noah mathews,Sign in to view noah’s full profile,,715,500+,"
              or
            ",,
joshua,https://www.linkedin.com/in/joshua/,Joshua Deeden,Sign in to view Joshua’s full profile,,21,12,,,
benjamin,https://www.linkedin.com/in/benjamin/,Benjamin Bonneville,Sign in to view Benjamin’s full profile,,381,368,,,
anne,https://www.linkedin.com/in/anne/,Anne-Marie Georgescu,Sign in to view Anne-Marie’s full profile,,84,81,,,"[{'organisation': 'University of Bucharest', 'organisation_profile': 'h', 'course_details': ""Bachelor's degree Japanese Language and Literature"", 'description': ''}, {'organisation': 'Tudor Vianu National College of Computer Science', 'organisation_profile': 'h', 'course_details': 'High School Computer Science', 'description': ''}]"
sam,https://www.linkedin.com/in/sam/,Sam Collins,Sign in to view Sam’s full profile,,3K,500+,"
              or
            ",,
jacob,https://www.linkedin.com/in/jacob/,Jacob DeHart,Sign in to view Jacob’s full profile,,338,321,"
              or
            ",,
noah,https://www.linkedin.com/in/noah/,noah mathews,Sign in to view noah’s full profile,,715,500+,"
              or
            ",,
joshua,https://www.linkedin.com/in/joshua/,Joshua Deeden,Sign in to view Joshua’s full profile,,21,12,,,
benjamin,https://www.linkedin.com/in/benjamin/,Benjamin Bonneville,Sign in to view Benjamin’s full profile,,381,368,,,
anne,https://www.linkedin.com/in/anne/,Anne-Marie Georgescu,Sign in to view Anne-Marie’s full profile,,84,81,,,"[{'organisation': 'University of Bucharest', 'organisation_profile': 'h', 'course_details': ""Bachelor's degree Japanese Language and Literature"", 'description': ''}, {'organisation': 'Tudor Vianu National College of Computer Science', 'organisation_profile': 'h', 'course_details': 'High School Computer Science', 'description': ''}]"
sam,https://www.linkedin.com/in/sam/,Sam Collins,Sign in to view Sam’s full profile,,3K,500+,"
              or
            ",,
jacob,https://www.linkedin.com/in/jacob/,Jacob DeHart,Sign in to view Jacob’s full profile,,338,321,"
              or
            ",,
noah,https://www.linkedin.com/in/noah/,noah mathews,Sign in to view noah’s full profile,,715,500+,"
              or
            ",,
joshua,https://www.linkedin.com/in/joshua/,Joshua Deeden,Sign in to view Joshua’s full profile,,21,12,,,
benjamin,https://www.linkedin.com/in/benjamin/,Benjamin Bonneville,Sign in to view Benjamin’s full profile,,381,368,,,
anne,https://www.linkedin.com/in/anne/,Anne-Marie Georgescu,Sign in to view Anne-Marie’s full profile,,84,81,,,"[{'organisation': 'University of Bucharest', 'organisation_profile': 'h', 'course_details': ""Bachelor's degree Japanese Language and Literature"", 'description': ''}, {'organisation': 'Tudor Vianu National College of Computer Science', 'organisation_profile': 'h', 'course_details': 'High School Computer Science', 'description': ''}]"
sam,https://www.linkedin.com/in/sam/,Sam Collins,Sign in to view Sam’s full profile,,3K,500+,"
              or
            ",,
jacob,https://www.linkedin.com/in/jacob/,Jacob DeHart,Sign in to view Jacob’s full profile,,338,321,"
              or
            ",,
noah,https://www.linkedin.com/in/noah/,noah mathews,Sign in to view noah’s full profile,,715,500+,"
              or
            ",,
joshua,https://www.linkedin.com/in/joshua/,Joshua Deeden,Sign in to view Joshua’s full profile,,21,12,,,
benjamin,https://www.linkedin.com/in/benjamin/,Benjamin Bonneville,Sign in to view Benjamin’s full profile,,381,368,,,
anne,https://www.linkedin.com/in/anne/,Anne-Marie Georgescu,Sign in to view Anne-Marie’s full profile,,84,81,,,"[{'organisation': 'University of Bucharest', 'organisation_profile': 'h', 'course_details': ""Bachelor's degree Japanese Language and Literature"", 'description': ''}, {'organisation': 'Tudor Vianu National College of Computer Science', 'organisation_profile': 'h', 'course_details': 'High School Computer Science', 'description': ''}]"
sam,https://www.linkedin.com/in/sam/,Sam Collins,Sign in to view Sam’s full profile,,3K,500+,"
              or
            ",,
jacob,https://www.linkedin.com/in/jacob/,Jacob DeHart,Sign in to view Jacob’s full profile,,338,321,"
              or
            ",,
noah,https://www.linkedin.com/in/noah/,noah mathews,Sign in to view noah’s full profile,,715,500+,"
              or
            ",,
joshua,https://www.linkedin.com/in/joshua/,Joshua Deeden,Sign in to view Joshua’s full profile,,21,12,,,
benjamin,https://www.linkedin.com/in/benjamin/,Benjamin Bonneville,Sign in to view Benjamin’s full profile,,381,368,,,
anne,https://www.linkedin.com/in/anne/,Anne-Marie Georgescu,Sign in to view Anne-Marie’s full profile,,84,81,,,"[{'organisation': 'University of Bucharest', 'organisation_profile': 'h', 'course_details': ""Bachelor's degree Japanese Language and Literature"", 'description': ''}, {'organisation': 'Tudor Vianu National College of Computer Science', 'organisation_profile': 'h', 'course_details': 'High School Computer Science', 'description': ''}]"
sam,https://www.linkedin.com/in/sam/,Sam Collins,Sign in to view Sam’s full profile,,3K,500+,"
              or
            ",,
jacob,https://www.linkedin.com/in/jacob/,Jacob DeHart,Sign in to view Jacob’s full profile,,338,321,"
              or
            ",,
noah,https://www.linkedin.com/in/noah/,noah mathews,Sign in to view noah’s full profile,,715,500+,"
              or
            ",,
joshua,https://www.linkedin.com/in/joshua/,Joshua Deeden,Sign in to view Joshua’s full profile,,21,12,,,
benjamin,https://www.linkedin.com/in/benjamin/,Benjamin Bonneville,Sign in to view Benjamin’s full profile,,381,368,,,
anne,https://www.linkedin.com/in/anne/,Anne-Marie Georgescu,Sign in to view Anne-Marie’s full profile,,84,81,,,"[{'organisation': 'University of Bucharest', 'organisation_profile': 'h', 'course_details': ""Bachelor's degree Japanese Language and Literature"", 'description': ''}, {'organisation': 'Tudor Vianu National College of Computer Science', 'organisation_profile': 'h', 'course_details': 'High School Computer Science', 'description': ''}]"
sam,https://www.linkedin.com/in/sam/,Sam Collins,Sign in to view Sam’s full profile,,3K,500+,"
              or
            ",,
jacob,https://www.linkedin.com/in/jacob/,Jacob DeHart,Sign in to view Jacob’s full profile,,338,321,"
              or
            ",,
noah,https://www.linkedin.com/in/noah/,noah mathews,Sign in to view noah’s full profile,,715,500+,"
              or
            ",,
joshua,https://www.linkedin.com/in/joshua/,Joshua Deeden,Sign in to view Joshua’s full profile,,21,12,,,
benjamin,https://www.linkedin.com/in/benjamin/,Benjamin Bonneville,Sign in to view Benjamin’s full profile,,381,368,,,
